date,item_id,item_name,category,store_id,units_sold,sell_price,unit_cost,fixed_costs,event_name,event_type,snap_flag,competitor_price
2011-02-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,0,1.31
2011-02-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,67.0,1.25,0.75,500.0,None,None,0,1.31
2011-02-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,50.0,1.25,0.75,500.0,None,None,0,1.3
2011-02-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,57.0,1.25,0.75,500.0,None,None,0,1.32
2011-02-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,0,1.28
2011-02-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,53.0,1.25,0.75,500.0,None,None,0,1.24
2011-02-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,64.0,1.25,0.75,500.0,None,None,0,1.24
2011-02-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,75.0,1.25,0.75,500.0,None,None,0,1.34
2011-02-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,57.0,1.25,0.75,500.0,None,None,0,1.31
2011-02-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,73.0,0.97,0.75,500.0,None,None,0,0.93
2011-03-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,84.0,0.97,0.75,500.0,None,None,1,1.04
2011-03-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,110.0,0.97,0.75,500.0,None,None,1,1.07
2011-03-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,86.0,0.97,0.75,500.0,None,None,1,0.97
2011-03-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,106.0,0.97,0.75,500.0,None,None,1,1.01
2011-03-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,125.0,0.97,0.75,500.0,None,None,1,0.98
2011-03-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,110.0,0.97,0.75,500.0,None,None,1,1.02
2011-03-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,99.0,0.97,0.75,500.0,None,None,1,0.95
2011-03-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,98.0,0.97,0.75,500.0,None,None,1,1.0
2011-03-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,97.0,0.97,0.75,500.0,None,None,1,1.04
2011-03-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,97.0,0.97,0.75,500.0,None,None,1,1.05
2011-03-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,108.0,0.97,0.75,500.0,None,None,0,1.02
2011-03-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,105.0,0.97,0.75,500.0,None,None,0,0.99
2011-03-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,64.0,1.25,0.75,500.0,None,None,0,1.21
2011-03-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,41.0,1.25,0.75,500.0,None,None,0,1.25
2011-03-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,53.0,1.25,0.75,500.0,None,None,0,1.26
2011-03-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,66.0,1.25,0.75,500.0,None,None,0,1.25
2011-03-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,60.0,1.25,0.75,500.0,None,None,0,1.29
2011-03-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,67.0,1.25,0.75,500.0,None,None,0,1.27
2011-03-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,76.0,1.25,0.75,500.0,None,None,0,1.3
2011-03-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,73.0,1.25,0.75,500.0,None,None,0,1.35
2011-03-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,51.0,1.25,0.75,500.0,None,None,0,1.27
2011-03-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.25,0.75,500.0,None,None,0,1.22
2011-03-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,49.0,1.25,0.75,500.0,None,None,0,1.25
2011-03-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,55.0,1.25,0.75,500.0,None,None,0,1.32
2011-03-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,70.0,1.25,0.75,500.0,None,None,0,1.32
2011-03-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,70.0,1.25,0.75,500.0,None,None,0,1.31
2011-03-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,91.0,1.25,0.75,500.0,None,None,0,1.35
2011-03-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,45.0,1.25,0.75,500.0,None,None,0,1.28
2011-03-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,64.0,1.25,0.75,500.0,None,None,0,1.39
2011-03-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,55.0,1.25,0.75,500.0,None,None,0,1.33
2011-03-31,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,59.0,1.25,0.75,500.0,None,None,0,1.16
2011-04-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,87.0,1.25,0.75,500.0,None,None,1,1.38
2011-04-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,80.0,1.25,0.75,500.0,None,None,1,1.25
2011-04-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,73.0,1.25,0.75,500.0,None,None,1,1.24
2011-04-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,60.0,1.25,0.75,500.0,None,None,1,1.31
2011-04-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,58.0,1.25,0.75,500.0,None,None,1,1.2
2011-04-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,1,1.25
2011-04-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,80.0,1.25,0.75,500.0,None,None,1,1.37
2011-04-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,94.0,1.25,0.75,500.0,None,None,1,1.32
2011-04-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.25,0.75,500.0,None,None,1,1.33
2011-04-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,79.0,1.25,0.75,500.0,None,None,1,1.25
2011-04-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.25,0.75,500.0,None,None,0,1.21
2011-04-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,48.0,1.25,0.75,500.0,None,None,0,1.32
2011-04-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.25,0.75,500.0,None,None,0,1.33
2011-04-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,81.0,1.25,0.75,500.0,None,None,0,1.33
2011-04-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,93.0,1.25,0.75,500.0,None,None,0,1.3
2011-04-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,69.0,1.25,0.75,500.0,None,None,0,1.24
2011-04-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,66.0,1.25,0.75,500.0,None,None,0,1.41
2011-04-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,58.0,1.25,0.75,500.0,None,None,0,1.31
2011-04-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,50.0,1.25,0.75,500.0,None,None,0,1.28
2011-04-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,58.0,1.25,0.75,500.0,None,None,0,1.28
2011-04-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,66.0,1.25,0.75,500.0,None,None,0,1.29
2011-04-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.25,0.75,500.0,None,None,0,1.34
2011-04-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,86.0,1.25,0.75,500.0,None,None,0,1.3
2011-04-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,75.0,1.25,0.75,500.0,None,None,0,1.33
2011-04-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,62.0,1.25,0.75,500.0,None,None,0,1.3
2011-04-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.25,0.75,500.0,None,None,0,1.28
2011-04-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.25,0.75,500.0,None,None,0,1.32
2011-04-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,59.0,1.25,0.75,500.0,None,None,0,1.32
2011-04-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,87.0,1.25,0.75,500.0,None,None,0,1.28
2011-04-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,91.0,1.25,0.75,500.0,None,None,0,1.25
2011-05-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,75.0,1.25,0.75,500.0,None,None,1,1.3
2011-05-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,60.0,1.25,0.75,500.0,None,None,1,1.29
2011-05-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,77.0,1.25,0.75,500.0,None,None,1,1.26
2011-05-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,78.0,1.25,0.75,500.0,None,None,1,1.25
2011-05-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,72.0,1.25,0.75,500.0,None,None,1,1.31
2011-05-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.25,0.75,500.0,None,None,1,1.32
2011-05-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,98.0,1.26,0.75,500.0,None,None,1,1.28
2011-05-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,123.0,0.98,0.75,500.0,None,None,1,0.99
2011-05-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,103.0,0.98,0.75,500.0,None,None,1,0.98
2011-05-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,99.0,0.98,0.75,500.0,None,None,1,1.02
2011-05-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,102.0,0.98,0.75,500.0,None,None,0,0.98
2011-05-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,104.0,0.98,0.75,500.0,None,None,0,1.1
2011-05-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,118.0,0.98,0.75,500.0,None,None,0,0.99
2011-05-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,115.0,0.98,0.75,500.0,None,None,0,0.91
2011-05-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,100.0,0.98,0.75,500.0,None,None,0,1.01
2011-05-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,0.98,0.75,500.0,None,None,0,1.01
2011-05-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,50.0,1.26,0.75,500.0,None,None,0,1.35
2011-05-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,68.0,1.26,0.75,500.0,None,None,0,1.31
2011-05-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,79.0,1.26,0.75,500.0,None,None,0,1.26
2011-05-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,86.0,1.26,0.75,500.0,None,None,0,1.28
2011-05-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,87.0,1.26,0.75,500.0,None,None,0,1.31
2011-05-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,71.0,1.26,0.75,500.0,None,None,0,1.19
2011-05-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,68.0,1.26,0.75,500.0,None,None,0,1.37
2011-05-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,68.0,1.26,0.75,500.0,None,None,0,1.26
2011-05-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,66.0,1.26,0.75,500.0,None,None,0,1.37
2011-05-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,80.0,1.26,0.75,500.0,None,None,0,1.32
2011-05-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,92.0,1.26,0.75,500.0,None,None,0,1.33
2011-05-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,107.0,1.26,0.75,500.0,None,None,0,1.36
2011-05-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,84.0,1.26,0.75,500.0,None,None,0,1.33
2011-05-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,61.0,1.26,0.75,500.0,None,None,0,1.33
2011-05-31,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.26,0.75,500.0,None,None,0,1.29
2011-06-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.26,0.75,500.0,None,None,1,1.32
2011-06-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,83.0,1.26,0.75,500.0,None,None,1,1.27
2011-06-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,97.0,1.26,0.75,500.0,None,None,1,1.28
2011-06-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,95.0,1.26,0.75,500.0,None,None,1,1.4
2011-06-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.26,0.75,500.0,None,None,1,1.26
2011-06-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,81.0,1.26,0.75,500.0,None,None,1,1.31
2011-06-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,69.0,1.26,0.75,500.0,None,None,1,1.3
2011-06-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,71.0,1.26,0.75,500.0,None,None,1,1.28
2011-06-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,91.0,1.26,0.75,500.0,None,None,1,1.32
2011-06-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,104.0,1.26,0.75,500.0,None,None,1,1.33
2011-06-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,119.0,1.26,0.75,500.0,None,None,0,1.25
2011-06-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,71.0,1.26,0.75,500.0,None,None,0,1.3
2011-06-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,69.0,1.26,0.75,500.0,None,None,0,1.24
2011-06-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,70.0,1.26,0.75,500.0,None,None,0,1.34
2011-06-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,72.0,1.26,0.75,500.0,None,None,0,1.31
2011-06-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,82.0,1.26,0.75,500.0,None,None,0,1.3
2011-06-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,89.0,1.26,0.75,500.0,None,None,0,1.33
2011-06-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,81.0,1.26,0.75,500.0,None,None,0,1.28
2011-06-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,76.0,1.26,0.75,500.0,None,None,0,1.34
2011-06-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,75.0,1.26,0.75,500.0,None,None,0,1.25
2011-06-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,77.0,1.26,0.75,500.0,None,None,0,1.37
2011-06-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,69.0,1.26,0.75,500.0,None,None,0,1.27
2011-06-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,80.0,1.26,0.75,500.0,None,None,0,1.21
2011-06-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,112.0,1.26,0.75,500.0,None,None,0,1.28
2011-06-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,97.0,1.26,0.75,500.0,None,None,0,1.28
2011-06-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,83.0,1.26,0.75,500.0,None,None,0,1.28
2011-06-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,67.0,1.26,0.75,500.0,None,None,0,1.31
2011-06-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,74.0,1.26,0.75,500.0,None,None,0,1.35
2011-06-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,70.0,1.26,0.75,500.0,None,None,0,1.29
2011-06-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,81.0,1.26,0.75,500.0,None,None,0,1.26
2011-07-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,87.0,1.26,0.75,500.0,None,None,1,1.24
2011-07-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,113.0,1.26,0.75,500.0,None,None,1,1.27
2011-07-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,94.0,1.26,0.75,500.0,None,None,1,1.2
2011-07-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,94.0,1.26,0.75,500.0,IndependenceDay,National,1,1.26
2011-07-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,74.0,1.26,0.75,500.0,None,None,1,1.36
2011-07-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,77.0,1.26,0.75,500.0,None,None,1,1.26
2011-07-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,80.0,1.26,0.75,500.0,None,None,1,1.33
2011-07-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,84.0,1.26,0.75,500.0,None,None,1,1.24
2011-07-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,109.0,1.26,0.75,500.0,None,None,1,1.39
2011-07-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,103.0,1.26,0.75,500.0,None,None,1,1.39
2011-07-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,63.0,1.26,0.75,500.0,None,None,0,1.33
2011-07-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,75.0,1.26,0.75,500.0,None,None,0,1.4
2011-07-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,65.0,1.26,0.75,500.0,None,None,0,1.32
2011-07-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,67.0,1.26,0.75,500.0,None,None,0,1.34
2011-07-15,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,86.0,1.26,0.75,500.0,None,None,0,1.36
2011-07-16,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,91.0,1.26,0.75,500.0,None,None,0,1.31
2011-07-17,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,76.0,1.26,0.75,500.0,None,None,0,1.22
2011-07-18,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,70.0,1.26,0.75,500.0,None,None,0,1.34
2011-07-19,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,84.0,1.26,0.75,500.0,None,None,0,1.27
2011-07-20,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,69.0,1.26,0.75,500.0,None,None,0,1.28
2011-07-21,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,64.0,1.26,0.75,500.0,None,None,0,1.31
2011-07-22,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,126.0,1.03,0.75,500.0,None,None,0,1.08
2011-07-23,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,120.0,1.03,0.75,500.0,None,None,0,1.07
2011-07-24,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,102.0,1.03,0.75,500.0,None,None,0,1.09
2011-07-25,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.04,0.75,500.0,None,None,0,1.04
2011-07-26,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.04,0.75,500.0,None,None,0,1.07
2011-07-27,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,90.0,1.04,0.75,500.0,None,None,0,1.11
2011-07-28,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,101.0,1.04,0.75,500.0,None,None,0,1.14
2011-07-29,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,117.0,1.04,0.75,500.0,None,None,0,1.16
2011-07-30,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,144.0,1.04,0.75,500.0,None,None,0,1.09
2011-07-31,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,105.0,1.04,0.75,500.0,None,None,0,1.11
2011-08-01,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,89.0,1.04,0.75,500.0,None,None,1,1.15
2011-08-02,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,98.0,1.04,0.75,500.0,None,None,1,1.04
2011-08-03,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,104.0,1.04,0.75,500.0,None,None,1,1.1
2011-08-04,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,92.0,1.26,0.75,500.0,None,None,1,1.34
2011-08-05,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,88.0,1.26,0.75,500.0,None,None,1,1.37
2011-08-06,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,115.0,1.26,0.75,500.0,None,None,1,1.24
2011-08-07,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,91.0,1.26,0.75,500.0,None,None,1,1.25
2011-08-08,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,81.0,1.26,0.75,500.0,None,None,1,1.3
2011-08-09,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,78.0,1.26,0.75,500.0,None,None,1,1.32
2011-08-10,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,87.0,1.26,0.75,500.0,None,None,1,1.35
2011-08-11,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,74.0,1.26,0.75,500.0,None,None,0,1.32
2011-08-12,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,96.0,1.26,0.75,500.0,None,None,0,1.29
2011-08-13,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,112.0,1.26,0.75,500.0,None,None,0,1.32
2011-08-14,FOODS_3_090_CA_1,Fresh Grocery Item 090,FOODS,CA_1,79.0,1.26,0.75,500.0,None,None,0,1.31
